Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   10365   107078     5587   100999        0    87064     2092  9261391   796077  3897081   571880    82444       79804    133860   227011    80737   233845   517482   567893    19722        0        0 
    9397   107435     5589   101148        0    87563     1789     1874      128     1174        0        0       79823    134349   227006    80736        5        0       13        0        0        0 
    8991   108352     5589   101462        0    86735     1732     2664      278     1568        0        0       79826    135577   227006    80736        0        0       14        0        0        0 
    9410   106835     5588   101001        0    88185     1770     1039       15      820        0        0       79827    133597   227006    80736        0        0        1        0        0        0 
    9048   107504     5589   101062        0    87832     1972     1607        1      899        0        0       79827    134328   226892    80719      114        0        0        0        0        0 
    9591   107455     5589   101462        0    87229     2044      824        3      709        0        0       79828    134678   226828    80702       64        0        0        0        0        0 
    9186   107141     5590   101147        0    87839     1999     1093       98      679        0        0       79828    134050   226824    80701        4        0        6        0        0        0 
    9389   107330     5605   100961        0    88276     1666     1910       58     1438        0        0       79844    134052   226824    80701        0        0       13        0        0        0 
    8816   107234     5605   101375        0    87900     2083      582        0      577        0        0       79844    134370   226824    80701        0        0        0        0        0        0 
    9365   106893     5605   101420        0    87721     1938      582        0      579        0        0       79844    134074   226824    80701        0        0        0        0        0        0 
    9203   107479     5605   101429        0    87118     2026      596        0      587        0        0       79844    134669   226820    80701        4        0        0        0        0        0 
    8824   107019     5606   101441        0    88186     2025     1247        0      771        0        0       79845    134221   226819    80701        1        0        0        0        0        0 
    9060   107557     5607   100980        0    88082     1638      913        0      692        0        0       79846    134298   226819    80701        0        0        0        0        0        0 
    9299   107077     5607   101310        0    87881     1697      595        0      590        0        0       79846    134148   226819    80701        0        0        0        0        0        0 
    9430   107198     5607   101311        0    87705     1953      590        0      577        0        0       79846    134270   226819    80701        0        0        0        0        0        0 
    9296   107260     5607   101267        0    87694     2025      635        0      626        0        0       79846    134288   226819    80701        0        0        0        0        0        0 
    9375   107248     5607   101261        0    87708     2025      583        0      580        0        0       79846    134270   226819    80701        0        0        0        0        0        0 
    8851   107588     5607   100960        0    88089     1638      879        0      658        0        0       79846    134309   226819    80701        0        0        0        0        0        0 
    8782   108497     5607   101205        0    86874     1772      581        0      577        0        0       79846    135463   226817    80701        2        0        0        0        0        0 
    9163   107810     5607   101352        0    87108     1955      582        0      577        0        0       79846    134923   226817    80701        0        0        0        0        0        0 
    9556   107020     5605   101252        0    87697     2059      596        1      592        5        0       79843    134034   226817    80701        0        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    9573   107530     5605   101347        0    87093     2091  9281380   796659  3912365   571885    82444       79843    134639   226817    80701   234039   517482   567940    19722        0        0 
    9276   106892     5604   100875        0    88655     1541      378        0      152        0        0       79843    133528   226815    80699        2        0        0        0        0        0 
    9400   108482     5604   100970        0    86914     1787       11        0        8        0        0       79843    135213   226815    80699        0        0        0        0        0        0 
    9738   107614     5620   101199        0    87287     1937       70        0       20        0        0       79861    134572   226794    80694       21        0        9        0        0        0 
    9825   107140     5635   101205        0    87698     2059       31        0       10        0        0       79878    134102   226791    80693        3        0        9        0        0        0 
    9643   107782     5637   101187        0    87059     2043       50        0       31        0        0       79880    134726   226781    80689       10        0        0        0        0        0 
    9713   107161     5637   101186        0    87665     1998       20        0       17        0        0       79880    134104   226781    80689        0        0        0        0        0        0 
    9335   107600     5637   100800        0    88072     1665      310        0      104        0        0       79880    134157   226781    80689        0        0        0        0        0        0 
    9770   107050     5637   101202        0    87870     1953       12        0        7        0        0       79880    134009   226781    80689        0        0        0        0        0        0 
