Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   17559   390243     2024   389802        0   119321    20804 14315510  1051471  6617293   673232   189363      318077    463992   197429    89116   328983   619626   725386     2874        0        0 
   15207   391542     2024   387925        0   121875    19564     1731      100     1337        0       88      318086    463405   197428    89116        1        0        8        0        0        0 
   17390   392595     2023   389508        0   116934    24173     4576      307     2703        0        0      318091    466035   197428    89116        0        0       16        0        0        0 
   17466   395676     2024   389883        0   113454    24176     1014        0     1010        0        0      318091    469492   197428    89116        0        0        0        0        0        0 
   17195   395485     2024   390076        0   113454    24176      990        0      982        0        0      318091    469494   197428    89116        0        0        0        0        0        0 
   16404   393214     2024   391938        0   114632    21421     1379        0     1024        0        0      318091    469085   197428    89116        0        0        0        0        0        0 
   17863   396513     2025   394045        0   107900    24270     1691      125     1169        0        1      318094    474489   197428    89116        0        0        9        0        0        0 
   16729   393601     2024   391047        0   114896    24105     1978       23     1839        0        0      318091    468581   197428    89116        0        0        1        0        0        0 
   17396   394524     2024   391170        0   113456    24189      982        0      978        0        0      318091    469627   197428    89116        0        0        0        0        0        0 
   17358   394212     2032   391308        0   113438    24197     1019        0     1015        0        0      318100    469452   197428    89116        0        0        0        0        0        0 
   16946   393687     2032   391046        0   114622    21459     1380        0     1026        0      384      318100    468665   197428    89116        0        0        0        0        0        0 
   18566   395110     2032   392816        0   109734    24253     1073        1     1018        0      256      318100    471858   197276    88987       29        0        0        0        0        0 
   17753   393198     2036   390824        0   114884    24113     1055        0     1018        0        0      318104    467954   197249    88963        0        0        0        0        0        0 
   17898   394166     2036   390894        0   113444    24197     1020        0      996        0        0      318104    468992   197248    88963        1        0        0        0        0        0 
   17858   393851     2037   391046        0   113408    24233     1020        0     1012        0        0      318104    468830   197248    88963        0        0        0        0        0        0 
   13336   381118     2036   387250        0   134489    12943     2396      124     1423        0        0      318104    452300   197247    88963        9        0        0        0        0        0 
   14208   388460     2043   386905        0   126823    16212     1201        0     1161        0        0      318111    459297   197244    88962        3        0        0        0        0        0 
   15987   391722     2048   389851        0   118434    24313      980        0      961       19        0      318116    465505   197244    88962        0        0        0        0        0        0 
   16811   394301     2051   390803        0   114550    24329      458        0      435        0        0      318121    469034   197244    88962        0        0        5        0        0        0 
   16549   394824     2174   391484        0   113460    24413     1339        1     1304        0        0      318272    470210   197240    88961        4        0        6        0        0        0 
   16261   391989     2175   390989        0   116993    21230     3159      158     1518        0        1      318273    466880   197240    88961        0        0        6        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   16629   394182     2175   391079        0   114341    21708 14346949  1052311  6642214   673251   190109      318272    469164   197240    88961   329030   619626   725437     2874        0        0 
   17670   395188     2178   392704        0   110908    24458      451        0      416        0        0      318277    471793   197240    88961        0        0        2        0        0        0 
   16785   393524     2178   391247        0   114861    24329      363        0      359        0        0      318277    468672   197240    88961        0        0        0        0        0        0 
   16838   394472     2178   391351        0   113389    24413      390        0      374        0        0      318277    469724   197240    88961        0        0        0        0        0        0 
   17291   394232     2178   391332        0   113356    24387      389        0      385        0        2      318277    469465   197240    88961        0        0        0        0        0        0 
   17256   393699     2178   390581        0   114589    21440      784        0      446        0      688      318277    468181   197240    88961        0        0        0        0        0        0 
   18853   395037     2178   392603        0   109818    24388      918        0      611        0        1      318277    471541   197238    88961        2        0        0        0        0        0 
   17259   393275     2207   390728        0   114842    24144      454        0      430        0        0      318284    467926   197233    88958        5        0        0        0        0        0 
   15674   391060     2187   390473        0   119174    21298     1368        5     1101        0        0      318288    465432   197232    88958        1        0        2        0        0        0 
