Linux 6.17.0-19-generic (prateek) 	29/03/26 	_x86_64_	(8 CPU)

05:18:26 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:27 PM IST  all   38.46    0.00    0.87    0.00    0.00    0.37    0.00    0.00    0.00   60.30
05:18:27 PM IST    0    1.90    0.00    3.81    0.00    0.00    2.86    0.00    0.00    0.00   91.43
05:18:27 PM IST    1    4.95    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   94.06
05:18:27 PM IST    2    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:18:27 PM IST    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:27 PM IST    4   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
05:18:27 PM IST    5    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:18:27 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:27 PM IST    7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

05:18:27 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:28 PM IST  all   38.85    0.00    1.13    0.00    0.00    0.25    0.00    0.00    0.00   59.77
05:18:28 PM IST    0    0.00    0.00    3.00    0.00    0.00    2.00    0.00    0.00    0.00   95.00
05:18:28 PM IST    1    5.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
05:18:28 PM IST    2    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
05:18:28 PM IST    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:28 PM IST    4  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:28 PM IST    5    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
05:18:28 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:28 PM IST    7    2.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00

05:18:28 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:29 PM IST  all   37.88    0.00    0.88    0.12    0.00    0.50    0.00    0.00    0.00   60.62
05:18:29 PM IST    0    9.90    0.00    4.95    0.00    0.00    2.97    0.00    0.00    0.00   82.18
05:18:29 PM IST    1    1.00    0.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00   97.00
05:18:29 PM IST    2    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:18:29 PM IST    3   61.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   39.00
05:18:29 PM IST    4   90.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
05:18:29 PM IST    5    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:18:29 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:29 PM IST    7   39.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   60.61

05:18:29 PM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:18:30 PM IST  all   38.33    0.00    0.62    0.00    0.00    0.12    0.00    0.00    0.00   60.92
05:18:30 PM IST    0   36.63    0.00    2.97    0.00    0.00    0.99    0.00    0.00    0.00   59.41
05:18:30 PM IST    1   55.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   45.00
05:18:30 PM IST    2    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:18:30 PM IST    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:18:30 PM IST    4    9.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.10
05:18:30 PM IST    5    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:18:30 PM IST    6  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
05:18:30 PM IST    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00

