procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 111128 419256  28816 1662036    0    6 29890 14669 3457   12  3  4 93  0  0  0
 3  0 111128 418980  28816 1662080    0    0     0     0 7268 2583 38  1 61  0  0  0
 4  0 111128 431332  28816 1649728    0    0     0     0 6984 2388 38  1 60  0  0  0
 3  0 111128 427236  28816 1653824    0    0     0     0 7605 2528 38  1 61  0  0  0
 4  0 111128 426716  28816 1654336    0    0     0     0 7472 2262 38  1 61  0  0  0
 3  0 111128 422936  28824 1654336    0    0     0    52 8096 3560 39  2 59  0  0  0
 3  0 111128 423224  28824 1653824    0    0     0     0 6945 2542 39  1 60  0  0  0
 3  0 111128 423224  28840 1653808    0    0     0   136 7289 2504 38  1 61  0  0  0
 3  0 111128 419128  28840 1657920    0    0     0     0 6652 2450 44  1 55  0  0  0
 3  0 111128 419128  28840 1657920    0    0     0     0 4839 2355 38  1 61  0  0  0
 3  0 111128 419128  28840 1657920    0    0     0     0 4897 2672 38  1 61  0  0  0
 3  0 111128 419256  28840 1657536    0    0     0   792 4560 2196 38  1 61  0  0  0
 3  0 111128 419384  28840 1657408    0    0     0     0 4538 2244 38  1 61  0  0  0
 3  0 111128 419384  28848 1657408    0    0     0    12 4545 2192 38  1 61  0  0  0
 3  0 111128 419384  28848 1657408    0    0     0     0 4728 2552 38  1 61  0  0  0
 3  0 111128 412052  28848 1657924    0    0     0     0 5104 3037 39  1 60  0  0  0
 3  0 111128 412052  28848 1657924    0    0     0     0 4550 2211 38  1 61  0  0  0
 3  0 111128 412308  28848 1657668    0    0     0     0 4893 2510 39  1 60  0  0  0
 3  0 111128 412308  28848 1657668    0    0     0     0 4611 2344 38  1 61  0  0  0
 3  0 111128 412308  28856 1657668    0    0     0    20 4669 2500 38  1 61  0  0  0
